Hotel_Description,Hotel_Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Hotel_Type
Guest Houses,U.S. HOTEL,"855,HOSPITAL ROAD,JAFFNA.",20,A,Jaffna,Jaffna,Jaffna Divisional Secretariat,80.025328,9.661277,Luxruy
Guest Houses,HONORS CLUB,"NO.351,PORUTHOTA ROAD,PALANGATURE,KOCHCHIKADE,NEGOMBO.",30,A,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,KINGDOM RESORT,"WALGAMPOKUNA, GODAUDA, KOTTEGODA.",8,A,Matara,Dickwella,Dickwella Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,RONNY COTTAGE,"NO.71/3, PALANGATHURE EAST, KOCHCHIKADE.",16,A,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL,Budget
Guest Houses,LANKA BEACH HOTEL,"NO.84/1, PALAGATHURE, KOCHCHIKADE.",15,A,Gampaha,Negombo,Negombo Divisional Secretariat,79.842141,7.2502,Budget
Guest Houses,PRINTERS VILLA,"NO.39,PEDLAR STREET,FORT,GALLE",13,A,Galle,Galle,Galle Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,LAYA WAVES,"KALKUDAH,PASSIKUDAH.",8,A,Batticaloa,Batticaloa,Koralai Pattu Divisional Secretariat,81.568172,7.918173,Luxury
Guest Houses,SANOGA RESORT,"MORAGASWEWA, HABARANA",5,B,Polonnaruwa,Hingurakgoda Pradeshiya Sabha,Hingurakgoda Divisional Secretariat,80.78126,8.029151,Comfort
Guest Houses,KITE BEACH VILLAS,"KUDAWA,KANDAKULIYA,KALPITIYA.",8,B,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.724361,8.226058,Comfort
Guest Houses,AJITH PUTHA GRAND,"IRATTAKULAMA ROAD,MADAMPE.",6,A,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,NULL,NULL,Budget
Guest Houses,MOUNT FIELD RESORT,"NO.166 KM POST, BADULLA ROAD, HALPE, BELIHULOYA.",21,A,Ratnapura,Balangoda,Imbulpe Divisional Secretariat,80.825858,6.737361,Budget
