Name,Address,District,AGA Division,PS/MC/UC,,,,
INTERSUN TRAVELS (PVT) LTD,"NO.90, YORK STREET, COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SAMBHUR VACATIONS & SAFARIS (PVT) LTD,"NO. T 46, "" NIWASIPURA"", KOTUGODA, JA ELA",Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat,,,,
LANKA SPORTREIZEN,"NO.29-B, S.DE S. JAYASINGHE MAWATHA ,KALUBOWILA, DEHIWELA",Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,,,,
AMERASIAN TRAVELS (PVT) LTD,"NO.61/9, DHARMAPALA, MAWATHA, COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
WORLD AVENUES (PVT) LTD,"NO.30, HYDE PARK CORNER, COLOMBO 2",Colombo,Colombo,Colombo Divisional Secretariat,,,,
QWEST DESTINATIONS (PVT) LTD,"NO.119A, CASTLE STREET, COLOMBO 08",Colombo,Colombo,Colombo Divisional Secretariat,,,,
KAWAIKI TOURS & TRAVELS (PVT) LTD,"NO.31, JESWEL PLACE, MIRIHANA, NUGEGODA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HAFSA TRAVELS & TOURS (PVT) LTD,"NO. 13 A1, KURUNEGALA ROAD , PUTTALAM",Puttalam,Chilaw Pradeshiya Sabha,Chilaw Divisional Secretariat,,,,
ALOYS TRAVEL SERVICE (PVT) LTD,"NO. 66, BANGALAWATTA ROAD, MABOLA, WATTALA",Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,,,,
NUSRATH TOURS & TRAVELS,"NO.395/ 1/1, PERADENIYA ROAD, KANDY",Kandy,Kandy,Kandy Divisional Secretariat,,,,
TOUR SOLUTIONS LANKA (PVT) LTD,"NO.128, VAUXHALL STREET, COLOMBO 2",Colombo,Colombo,Colombo Divisional Secretariat,,,,
UMMUL QURA TRAVELS & TOURS (PVT) LTD,"NO.307A, MAKKAMADY ROAD, MARUTHAMUNAI",Ampara,Ampara,Samanthurai Divisional Secretariat,,,,
TRAVEL WORLD (PVT) LTD,"NO.12, GALLE FACE COURT 2, COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HEART ATTACHED (PVT) LTD,"UNIT 2A, 30A, ALWIS PLACE, COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AMERICAN LLOYD TRAVELS LTD,"NO. 8-1/3, YORK ARCADE BUILDING, LEYDEN BASTIAN ROAD, COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SETMIL TRAVELS & TOURS (PVT) LTD,"SETMIL MERITIME CENTRE, NO.256, SRIMATH RAMANATHAN MAWATHA, COLOMBO 15",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SUDANS INTERNATIONAL TRAVELS AND TOURS (PVT) LTD,"NO.24B, PARANAWATTA, HENDALA, WATTALA",Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,,,,
